id,trs_code,ean_barcode,division,product_line,category,display_name,size_display,shade_code,product_type,validation_status,image_status,enrichment_status,source_pdf_page
cprod-truss-trs-8557,TRS-8557,7898625796056,CARE,BASIC,CONDITIONER,BASIC CONDITIONER 2400ML,2400ML,,conditioner,approved,missing_official_image,needs_review,1
cprod-truss-trs-8556,TRS-8556,7898625796049,CARE,BASIC,SHAMPOO,BASIC SHAMPOO 2400ML,2400ML,,shampoo,approved,missing_official_image,needs_review,2
cprod-truss-trs-8402,TRS-8402,7898625795745,CARE,BLOND REVOLUTION,FINISHING,BLOND REVOLUTION IMPASSABLE BLOND FINISHER 100ML,100ML,,treatment,approved,missing_official_image,needs_review,3
cprod-truss-trs-8400,TRS-8400,7898625795721,CARE,BLOND REVOLUTION,MASK,BLOND REVOLUTION NET BLOND MASK 180G,180G,,mask,approved,official_local,enriched,4
cprod-truss-trs-8398,TRS-8398,7898625795691,CARE,BLOND REVOLUTION,SHAMPOO,BLOND REVOLUTION ANTIOXIDANT SHAMPOO 300ML,300ML,,shampoo,approved,missing_official_image,needs_review,5
cprod-truss-trs-8399,TRS-8399,7898625795707,CARE,BLOND REVOLUTION,SHAMPOO,BLOND REVOLUTION PRO ANTIOXIDANT SHAMPOO 1L,1L,,shampoo,approved,missing_official_image,needs_review,6
cprod-truss-trs-8397,TRS-8397,7898625795813,CARE,BLOND REVOLUTION,TREATMENT,BLOND REVOLUTION PRO INSTANT DOSE 90ML,90ML,,treatment,approved,missing_official_image,needs_review,7
cprod-truss-trs-8401,TRS-8401,7898625795738,CARE,BLOND REVOLUTION,TREATMENT,BLOND REVOLUTION PRO ACID ANTI-BREAKAGE 400ML,400ML,,treatment,approved,missing_official_image,needs_review,8
cprod-truss-trs-8403,TRS-8403,7898625795752,CARE,BLOND REVOLUTION,TREATMENT,BLOND REVOLUTION IMMEDIATE NEUTRALIZING MOUSSE 300ML,300ML,,treatment,approved,missing_official_image,needs_review,9
cprod-truss-trs-8408,TRS-8408,7898625795714,CARE,BLOND REVOLUTION,TREATMENT,BLOND REVOLUTION RESTRUCTURE SOFT CREAM 650ML,650ML,,treatment,approved,missing_official_image,needs_review,10
cprod-truss-trs-189,TRS-189,7898352514121,CARE,BLONDE,CONDITIONER,BLONDE CONDITIONER 300ML,300ML,,conditioner,approved,missing_official_image,needs_review,11
cprod-truss-trs-206,TRS-206,7898947943800,CARE,BLONDE,MASK,BLONDE MASK 180G,180G,,mask,approved,missing_official_image,needs_review,12
cprod-truss-trs-170,TRS-170,7898352514114,CARE,BLONDE,SHAMPOO,BLONDE SHAMPOO 300ML,300ML,,shampoo,approved,missing_official_image,needs_review,13
cprod-truss-trs-198,TRS-198,7898947942582,CARE,CURLY,CONDITIONER,CURLY CONDITIONER 300ML,300ML,,conditioner,approved,missing_official_image,needs_review,14
cprod-truss-trs-180,TRS-180,7898947942605,CARE,CURLY,SHAMPOO,CURLY SHAMPOO 300ML,300ML,,shampoo,approved,missing_official_image,needs_review,15
cprod-truss-trs-7639,TRS-7639,7898625794717,CARE,DELUXE PRIME,CONDITIONER,DELUXE PRIME CONDITIONER 300ML,300ML,,conditioner,approved,missing_official_image,needs_review,16
cprod-truss-trs-7643,TRS-7643,7898625794625,CARE,DELUXE PRIME,CONDITIONER,DELUXE PRIME CONDITIONER 1000ML,1000ML,,conditioner,approved,official_local,enriched,17
cprod-truss-trs-7640,TRS-7640,7898625794595,CARE,DELUXE PRIME,MASK,DELUXE PRIME MASK 180G,180G,,mask,approved,missing_official_image,needs_review,18
cprod-truss-trs-7638,TRS-7638,7898625794540,CARE,DELUXE PRIME,SHAMPOO,DELUXE PRIME SHAMPOO 300ML,300ML,,shampoo,approved,missing_official_image,needs_review,19
