id,trs_code,ean_barcode,reasons
cprod-truss-trs-8557,TRS-8557,7898625796056,missing_official_image|missing_official_description
cprod-truss-trs-8556,TRS-8556,7898625796049,missing_official_image|missing_official_description
cprod-truss-trs-8402,TRS-8402,7898625795745,missing_official_image|missing_official_description
cprod-truss-trs-8398,TRS-8398,7898625795691,missing_official_image|missing_official_description
cprod-truss-trs-8399,TRS-8399,7898625795707,missing_official_image|missing_official_description
cprod-truss-trs-8397,TRS-8397,7898625795813,missing_official_image|missing_official_description
cprod-truss-trs-8401,TRS-8401,7898625795738,missing_official_image|missing_official_description
cprod-truss-trs-8403,TRS-8403,7898625795752,missing_official_image|missing_official_description
cprod-truss-trs-8408,TRS-8408,7898625795714,missing_official_image|missing_official_description
cprod-truss-trs-189,TRS-189,7898352514121,missing_official_image|missing_official_description
cprod-truss-trs-206,TRS-206,7898947943800,missing_official_image|missing_official_description
cprod-truss-trs-170,TRS-170,7898352514114,missing_official_image|missing_official_description
cprod-truss-trs-198,TRS-198,7898947942582,missing_official_image|missing_official_description
cprod-truss-trs-180,TRS-180,7898947942605,missing_official_image|missing_official_description
cprod-truss-trs-7639,TRS-7639,7898625794717,missing_official_image|missing_official_description
cprod-truss-trs-7640,TRS-7640,7898625794595,missing_official_image|missing_official_description
cprod-truss-trs-7638,TRS-7638,7898625794540,missing_official_image|missing_official_description
cprod-truss-trs-7642,TRS-7642,7898625794618,missing_official_image|missing_official_description
cprod-truss-trs-7641,TRS-7641,7898625794601,missing_official_image|missing_official_description
cprod-truss-trs-275,TRS-275,7898625791006,missing_official_image|missing_official_description
cprod-truss-trs-5228,TRS-5228,7898625791662,missing_official_image|missing_official_description
cprod-truss-trs-5227,TRS-5227,7898625791655,missing_official_image|missing_official_description
cprod-truss-trs-187,TRS-187,7898947943091,missing_official_image|missing_official_description
cprod-truss-trs-168,TRS-168,7898947943084,missing_official_image|missing_official_description
cprod-truss-trs-5536,TRS-5536,7898625791839,missing_official_image|missing_official_description
cprod-truss-trs-5545,TRS-5545,7898625791808,missing_official_image|missing_official_description
cprod-truss-trs-4774,TRS-4774,7898625791532,missing_official_image|missing_official_description
cprod-truss-trs-199,TRS-199,7898947942964,missing_official_image|missing_official_description
cprod-truss-trs-182,TRS-182,7898947942957,missing_official_image|missing_official_description
cprod-truss-trs-5222,TRS-5222,7898625791587,missing_official_image|missing_official_description
cprod-truss-trs-191,TRS-191,7898352517979,missing_official_image|missing_official_description
cprod-truss-trs-204,TRS-204,7898947943794,missing_official_image|missing_official_description
cprod-truss-trs-172,TRS-172,7898352519584,missing_official_image|missing_official_description
cprod-truss-trs-203,TRS-203,7898947943718,missing_official_image|missing_official_description
