brand,series,shade,productType,productTypeLabel,colorLine,colorTechnology,shadeSystem,level,levelName,reflectCode,meaning,developerPercent,developerVolume,colorFamily,confidence,grams,rows,customers
L'OREAL PROFESSIONNEL,INOA DEVELOPERS,6%   20 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,L'Oréal INOA,Permanent oil-based color,,,,,Standard developer for grey coverage and 1-2 levels of lift,6,20,,high,540087,7782,6
L'OREAL PROFESSIONNEL,OXYDANT DEVELOPERS,6%   20 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,OXYDANT DEVELOPERS,Unknown / supporting product,,,,,Standard developer for grey coverage and 1-2 levels of lift,6,20,,high,336865.5,4418,6
L'OREAL PROFESSIONNEL,DIACTIVATOR,4.5%   15 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,DIACTIVATOR,Unknown / supporting product,,,,,Low-volume Dia activator; stronger reflect / intensity,4.5,15,,high,214626,3222,6
L'OREAL PROFESSIONNEL,DIACTIVATOR,2.7%   9 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,DIACTIVATOR,Unknown / supporting product,,,,,Low-volume Dia activator; standard deposit and tonal reveal,2.7,9,,high,194236.5,3256,6
AFRODITA,DEVELOPERS,9%   30 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,DEVELOPERS,Unknown / supporting product,,,,,"Stronger developer for highlights, balayage, and 2-3 levels of lift",9,30,,high,175778.5,1815,2
AFRODITA,DEVELOPERS,6%   20 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,DEVELOPERS,Unknown / supporting product,,,,,Standard developer for grey coverage and 1-2 levels of lift,6,20,,high,146215.5,1550,1
L'OREAL PROFESSIONNEL,BS DEVELOPERS,6%   20 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,BS DEVELOPERS,Unknown / supporting product,,,,,Standard developer for grey coverage and 1-2 levels of lift,6,20,,high,135990,949,5
L'OREAL PROFESSIONNEL,DIACTIVATOR,1.8%   6 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,DIACTIVATOR,Unknown / supporting product,,,,,Very low-volume Dia activator; subtle reflect / gloss / tone-on-tone,1.8,6,,high,106945,1760,6
L'OREAL PROFESSIONNEL,BLOND STUDIO BLEACH,PLATINIUM P7,lightener_bleach,Lightener / bleach,Lightener / bleach,Lightening product,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,98280,1001,4
L'OREAL PROFESSIONNEL,NEW INOA,6.0 F,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,84852.5,1992,4
L'OREAL PROFESSIONNEL,NEW INOA,7.0 F,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,76817.5,1779,4
L'OREAL PROFESSIONNEL,BS DEVELOPERS,OIL 6%   20 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,BS DEVELOPERS,Unknown / supporting product,,,,,Standard developer for grey coverage and 1-2 levels of lift,6,20,,high,73620,815,5
L'OREAL PROFESSIONNEL,BLOND STUDIO BLEACH,9 BONDER IN,bond_builder,Bond builder / lightening support,Lightener / bleach,Lightening product,,,,,Bond-building or protective additive used with lightening/color services,,,,high,67250.5,1132,4
JUL,BLEACH,WHITE,lightener_bleach,Lightener / bleach,Lightener / bleach,Lightening product,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,66242.5,1551,1
AFRODITA,DEVELOPERS,12%   40 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,DEVELOPERS,Unknown / supporting product,,,,,Maximum standard developer for high lift / bleach work,12,40,,high,63448,801,1
MOLECULISSE,MINERAL,intensive hair,treatment_care,Treatment / care product,MINERAL,Unknown / supporting product,,,,,"Care, treatment, smoothing, repair, or support product rather than a hair color shade",,,,high,58865.5,435,1
TREATMENT,1000ml,KERATIN,treatment_care,Treatment / care product,1000ml,Unknown / supporting product,,,,,"Care, treatment, smoothing, repair, or support product rather than a hair color shade",,,,high,51049,557,1
L'OREAL PROFESSIONNEL,OXYDANT DEVELOPERS,9%   30 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,OXYDANT DEVELOPERS,Unknown / supporting product,,,,,"Stronger developer for highlights, balayage, and 2-3 levels of lift",9,30,,high,50569.5,472,6
L'OREAL PROFESSIONNEL,NEW INOA,7.11,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,11,Blonde with Ash / blue + Ash / blue reflect,,,Brown / dark blonde,high,38180.5,1150,4
L'OREAL PROFESSIONNEL,BS DEVELOPERS,12% 40 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,BS DEVELOPERS,Unknown / supporting product,,,,,Maximum standard developer for high lift / bleach work,12,40,,high,34080.5,438,2
L'OREAL PROFESSIONNEL,MAJIREL,6.0,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,31710,1281,4
L'OREAL PROFESSIONNEL,MAJIREL,901S,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,9,Very light blonde,01,Very light blonde with Natural + Ash / blue reflect,,,Blonde,high,27874.5,677,3
L'OREAL PROFESSIONNEL,DIA LIGHT,10.13,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,25817.5,652,6
L'OREAL PROFESSIONNEL,MAJIREL,7.0,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,25298.5,802,4
L'OREAL PROFESSIONNEL,NEW INOA,8.0 F,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,8,Light blonde,0,Light blonde natural shade,,,Blonde,high,23656.5,517,3
L'OREAL PROFESSIONNEL,BS DEVELOPERS,9%   30 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,BS DEVELOPERS,Unknown / supporting product,,,,,"Stronger developer for highlights, balayage, and 2-3 levels of lift",9,30,,high,21307.5,234,5
L'OREAL PROFESSIONNEL,DIA COLOR,6,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,19834,598,6
L'OREAL PROFESSIONNEL,DIA LIGHT,10.12,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,19543,651,6
L'OREAL PROFESSIONNEL,NEW INOA,6,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,18333,576,5
L'OREAL PROFESSIONNEL,NEW INOA,7.8,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,8,Blonde with Mocha reflect,,,Brown / dark blonde,high,18020.5,571,4
L'OREAL PROFESSIONNEL,COOL COVER,CC6.17,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,17,Dark blonde with Ash / blue + Green / matte reflect,,,Brown / dark blonde,high,17223,860,5
